Ticker,$VolumePctl,SharpePctl,$VolxSharpe,Parkinson,ParkinsonPctl
ROST,0.931,0.747,0.695,0.2,0.04
TSLL,0.995,0.697,0.694,0.9,0.26
LAUR,0.715,0.969,0.693,0.4,0.94
KO,0.972,0.712,0.692,0.16,0.51
SO,0.977,0.706,0.69,0.19,0.6
GL,0.797,0.864,0.689,0.22,0.27
KORU,0.737,0.935,0.689,0.41,0.68
FE,0.877,0.786,0.689,0.17,0.48
KAR,0.739,0.933,0.689,0.27,0.5
LIF,0.739,0.932,0.689,0.4,0.39
ATAT,0.792,0.869,0.688,0.42,0.33
DX,0.747,0.92,0.687,0.2,0.73
FHN,0.88,0.781,0.687,0.32,0.74
MA,0.983,0.699,0.687,0.23,0.82
AS,0.789,0.87,0.686,0.4,0.23
MRP,0.724,0.948,0.686,0.29,0.48
AMX,0.716,0.957,0.685,0.24,0.36
CTRA,0.971,0.705,0.685,0.3,0.71
NFG,0.731,0.937,0.685,0.25,0.84
CMS,0.942,0.727,0.685,0.2,0.63
JNUG,0.764,0.895,0.684,0.79,0.9
POM,0.685,0.999,0.684,0.95,0.05
PPTA,0.804,0.851,0.684,0.88,0.9
PUK,0.702,0.974,0.684,0.15,0.41
LYG,0.701,0.975,0.683,0.17,0.32
ORI,0.784,0.871,0.683,0.26,0.88
LOPE,0.811,0.841,0.682,0.38,0.9
TMC,0.713,0.955,0.681,0.89,0.3
CFG,0.88,0.774,0.681,0.28,0.62
CPNG,0.929,0.732,0.68,0.26,0.26
CLSK,0.951,0.714,0.679,1.08,0.78
WYFI,0.691,0.983,0.679,1.24,0.43
KR,0.934,0.727,0.679,0.24,0.55
ACMR,0.768,0.883,0.678,0.54,0.4
THC,0.911,0.743,0.677,0.39,0.55
CECO,0.702,0.964,0.677,0.7,0.95
AMKR,0.892,0.759,0.677,0.57,0.92
IHRT,0.829,0.817,0.677,0.98,0.54
EXPD,0.969,0.699,0.677,0.28,0.81
CELC,0.73,0.926,0.676,0.79,0.63
UBS,0.846,0.798,0.675,0.14,0.42
AGX,0.749,0.901,0.675,0.59,0.38
OLLI,0.867,0.779,0.675,0.38,0.42
TECL,0.889,0.758,0.674,0.49,0.5
COHR,0.957,0.704,0.674,0.56,0.54
DY,0.764,0.882,0.674,0.38,0.55
MUFG,0.75,0.897,0.673,0.12,0.16
TDUP,0.678,0.992,0.673,0.67,0.24
BBVA,0.682,0.985,0.672,0.19,0.66
HPE,0.97,0.693,0.672,0.36,0.64
ING,0.699,0.962,0.672,0.13,0.52
BOOT,0.852,0.788,0.671,0.49,0.69
PSIX,0.737,0.91,0.671,0.76,0.01
HDB,0.863,0.776,0.67,0.17,0.78
CVNA,0.984,0.681,0.67,0.67,0.78
MVST,0.693,0.966,0.669,1.0,0.34
PGY,0.799,0.836,0.668,0.76,0.27
DRI,0.922,0.725,0.668,0.24,0.56
MPWR,0.976,0.684,0.668,0.43,0.4
ABT,0.971,0.687,0.667,0.21,0.36
DTM,0.847,0.788,0.667,0.29,0.52
CMA,0.839,0.794,0.666,0.28,0.43
BN,0.861,0.773,0.666,0.26,0.43
VOD,0.801,0.829,0.664,0.18,0.8
MRUS,0.768,0.865,0.664,0.07,0.0
REAL,0.723,0.918,0.664,0.64,0.1
BEPC,0.753,0.879,0.662,0.33,0.49
COMM,0.793,0.835,0.662,0.55,0.2
ACM,0.809,0.818,0.662,0.23,0.56
TARS,0.773,0.857,0.662,0.48,0.26
SNX,0.811,0.816,0.662,0.25,0.58
PTGX,0.803,0.825,0.662,0.5,0.52
ABBV,0.987,0.67,0.661,0.22,0.29
ONC,0.794,0.833,0.661,0.27,0.09
SCCO,0.911,0.725,0.66,0.34,0.71
NEGG,0.766,0.862,0.66,1.65,0.61
ECG,0.789,0.835,0.659,0.52,0.42
OMF,0.837,0.787,0.659,0.33,0.74
TMDX,0.853,0.772,0.659,0.71,0.8
ALLE,0.827,0.795,0.657,0.22,0.66
FTS,0.724,0.908,0.657,0.14,0.35
ETN,0.996,0.66,0.657,0.38,0.82
MDB,0.968,0.679,0.657,0.46,0.5
CMPO,0.73,0.898,0.656,0.75,0.98
LUMN,0.935,0.702,0.656,1.17,0.96
CIB,0.66,0.994,0.656,0.25,0.37
NOC,0.903,0.726,0.656,0.23,0.54
PRAX,0.847,0.773,0.655,0.92,0.82
RCAT,0.799,0.818,0.654,1.11,0.4
SPXC,0.783,0.834,0.653,0.42,0.85
CDNS,0.981,0.666,0.653,0.34,0.75
TXNM,0.685,0.953,0.653,0.03,0.0
TCMD,0.806,0.81,0.653,0.47,0.64
PRM,0.722,0.904,0.653,0.69,0.98
EGO,0.762,0.856,0.652,0.43,0.8
PFGC,0.852,0.765,0.652,0.23,0.4
NDAQ,0.872,0.748,0.652,0.2,0.48
GPOR,0.771,0.846,0.652,0.4,0.79
INBX,0.67,0.971,0.651,1.25,0.97
AWI,0.742,0.878,0.651,0.25,0.68
USFD,0.834,0.78,0.651,0.2,0.26
FUBO,0.83,0.784,0.651,0.94,0.8
LH,0.912,0.713,0.65,0.31,0.9
WMB,0.972,0.669,0.65,0.3,0.72
EPD,0.878,0.74,0.65,0.17,0.35
AMUU,0.657,0.99,0.65,0.88,0.72
NPO,0.734,0.884,0.649,0.49,0.92
PSX,0.937,0.692,0.648,0.31,0.7
IVZ,0.79,0.82,0.648,0.37,0.82
MLI,0.792,0.817,0.647,0.27,0.47
AIG,0.947,0.683,0.647,0.22,0.59
AXTI,0.69,0.938,0.647,1.26,1.0
DGXX,0.734,0.881,0.647,1.83,0.93
MUU,0.796,0.811,0.646,0.92,0.75
IDA,0.727,0.888,0.646,0.21,0.71
BZ,0.799,0.809,0.646,0.35,0.12
TE,0.734,0.88,0.646,1.55,0.94
LLY,0.998,0.647,0.646,0.34,0.7
EHC,0.856,0.754,0.645,0.32,0.9
MIAX,0.646,0.998,0.645,0.48,0.02
VSEC,0.712,0.904,0.644,0.43,0.44
CCL,0.982,0.656,0.644,0.39,0.68
METC,0.76,0.847,0.644,1.19,0.92
QRVO,0.933,0.69,0.644,0.49,0.89
VSTM,0.789,0.815,0.643,0.96,0.54
STRF,0.676,0.948,0.641,0.16,0.24
XERS,0.652,0.982,0.64,0.51,0.22
SNN,0.677,0.946,0.64,0.15,0.35
MKSI,0.873,0.732,0.639,0.44,0.64
AAOI,0.903,0.708,0.639,1.09,0.35
ARWR,0.761,0.839,0.638,0.61,0.4
DELL,0.975,0.654,0.638,0.42,0.69
SPG,0.948,0.673,0.638,0.21,0.54
MLYS,0.714,0.893,0.638,0.65,0.21
AR,0.891,0.715,0.637,0.45,0.84
HLT,0.941,0.677,0.637,0.25,0.71
PLD,0.924,0.689,0.637,0.23,0.31
FLS,0.863,0.737,0.636,0.45,0.9
WAY,0.794,0.799,0.634,0.38,0.44
SOXL,0.996,0.637,0.634,0.74,0.49
AXS,0.785,0.808,0.634,0.24,0.58
PSKY,0.836,0.757,0.633,0.42,0.71
PAY,0.828,0.764,0.633,0.47,0.46
